Sample,Time (s),AI0 - Center- F5 (°C),AI2 - F4 (°C),AI3 - E5 (°C),AI5 - F6 (°C),AI6 - G5 (°C)
38,00:12.8,21.954,22.629,22.203,21.839,22.479
39,00:13.1,22.002,22.74,22.287,21.901,22.541
40,00:13.5,22.043,22.701,22.25,21.889,22.525
41,00:13.8,22.049,22.715,22.284,21.939,22.509
42,00:14.1,22.029,22.72,22.293,22.004,22.583
43,00:14.5,22.115,22.753,22.388,22.075,22.619
44,00:14.8,22.163,22.779,22.504,22.256,22.721
45,00:15.1,22.319,22.874,22.593,22.33,22.752
46,00:15.5,22.36,22.937,22.741,22.366,22.855
47,00:15.8,22.374,22.962,22.753,22.358,22.886
48,00:16.2,22.466,23.058,22.848,22.441,22.906
49,00:16.5,22.487,23.044,22.846,22.542,22.924
50,00:16.8,22.521,22.998,22.82,22.437,22.782
51,00:17.2,22.411,22.818,22.74,22.35,22.676
52,00:17.5,22.329,22.644,22.59,22.244,22.573
53,00:17.8,22.28,22.624,22.595,22.241,22.517
54,00:18.2,22.25,22.612,22.554,22.21,22.516
55,00:18.5,22.293,22.665,22.572,22.209,22.485
56,00:18.8,22.19,22.579,22.463,22.086,22.348
